"track","streamed_on_youtube","streamed_on_spotify"
"Usted","30059201","137916795"
"21 Hungarian Dances, WoO 1: Hungarian Dance No. 5 in G Minor. Allegro (Orch. Schmeling)","39575743","79151486"
"Mientes Tan Bien","6915455","224299945"
"Have You Ever Seen The Rain","61903001","975300588"
"Dream A Little Dream Of Me","157256901","495674374"
"When I Grow Up","231236307","260959663"
"Me Hace Tanto Bien","56694580","187498268"
"What You Want (feat. Total)","13099909","85458315"
"Suavemente","134326707","250550159"
"Emotions","218177","107654866"
"Do It Again","116968498","182238193"
"No Diggity","47145766","626845940"
"Always On My Mind","82658228","126445901"
"Te Busco","37401496","233775834"
"Be Alright","15863427","1411301562"
"Perfect Strangers","101011043","1830998400"
"Fly Away","151567792","245121775"
"Hangover","20684880","303149408"
"Comfortable","1165658","59426341"
"River Flows In You","5347062","422612038"
"Monster","200297288","762112627"
"Sunday Morning","43561592","106869044"
"Instagram","71633388","280789051"
"Bloody Mary","2296711","208978461"
"Amnesia","116621218","119757012"
"Paris","63117196","1393488738"
"Why","16668187","427578028"
"Deja Vu","62447261","105760387"
"Far Away","73427","285376658"
"Lady","67029464","90652026"
"Sentimental","10934323","92696236"
"Red Red Wine","54041425","483218480"
"When You're Gone","242113103","320963655"
"Act A Fool","11783832","79939253"
"Walk Away","897178","27195290"
"Again","157282603","464500082"
"God Rest Ye Merry Gentlemen","70704574","71043019"
"Hoy","5284319","26757843"
"Convénceme","20825065","35461535"
"Me Enamoré","24371320","89200492"
"Lover","68608492","703277114"
"To Love Somebody","44964661","120135869"
"No One Knows","60252375","337925693"
"N","11294314","50050041"
"How Will I Know","79724836","326653140"
"All I Wanna Do","49760120","151258597"
"Can't Get Enough Of Your Love, Babe","64936637","131145013"
"Best Friend","95609341","564568026"
"Yesterday","10714717","89619622"
"It Wasn't Me","11910849","787544363"
"Run","106204235","541912824"
"Cigana - Ao Vivo","10523270","27107941"
"Stay","933966110","2197528484"
"Loser","39372488","364785132"
"Photograph","144604914","2369780169"
"Malas Rachas (En Vivo)","13276768","13362545"
"Apologize","390479953","622982487"
"Contigo","74424","122487491"
"I Will Survive","12730862","470288911"
"Pony","84190231","412886790"
"La Que Se Fue","10823394","51675840"
"Candy","320265001","330287879"
"La Última Canción","36059918","80536279"
"Chocolate","9948750","28444918"
"Up & Down","23306593","49133755"
"Si Tu Amor No Vuelve","50374741","72717311"
"On the Beach","8703491","13848080"
"Happiness","23713815","206084186"
"Daddy Cool","13070905","219078589"
"So Far Away","145446807","152873052"
"Black","4594547","348404281"
"Angel","331272487","487129115"
"Ride It","1859206","53199886"
"My Life","78380528","160300355"
"Gone","35110923","44441321"
"Low","25303350","94219850"
"Without Me","1457351902","1666992690"
"Levels","68018304","98685187"
"Invéntame","47269362","81684233"
"Color Esperanza 2020","89466323","1610393814"
"Breakdown","32871644","87209276"
"You Don't Own Me","2114958","7593642"
"For You","4520938","36327437"
"Home","98928593","551746965"
"Unstoppable","10626164","966825739"
"Hosanna","41748787","184906529"
"No Se Va","3075794","270341650"
"Shut Up","4124681","183224372"
"On The Road Again - Live","3896252","5844378"
"Nuestro Amor","32196256","128785024"
"Silence","22259505","2644114398"
"Gangsta's Paradise","725102","52303098"
"Lithium","66098488","459674766"
"One","72692874","478399747"
"Heaven","472074634","963919240"
"Entre Sobras Y Sobras Me Faltas","9559489","36782970"
"Higher","90600802","212010372"
"Flaca","70090615","306003111"
"I Want A New Drug","9134614","18487634"
"I Remember","30349748","46774924"
"Don","9347742","150227347"
"Fantasy","134175077","485660374"
"Yo Te Diré","1345939","39314710"
"Una Vaina Loca","165747529","405837187"
"(Don't Fear) The Reaper","21305089","441277003"
"Radioactive","73259995","1500460111"
"Vete","131662552","167034488"
"Chau","46119366","72368870"
"Forever","53994510","1298622475"
"Bye Bye","117446286","167193053"
"Este Corazón","69778344","279113376"
"Money","6908786","513853858"
"It's a Heartache","15163105","112105532"
"Automatic","20487021","82459496"
"Atlantis","2439711","410286196"
"Sin Cadenas","13549639","25385224"
"Trust","18025975","321948032"
"Stronger","71959681","1257139180"
"Say My Name","526948090","860383844"
"London Bridge","12807694","152256748"
"Love Mashup 2019","34948080","69918991"
"You","169924949","783097434"
"Get Back","58795363","264281170"
"Darling","5263435","73936959"
"Voodoo","4600225","100085126"
"Amiga","10067505","83224089"
"Kuch Kuch Hota Hai","34017431","68034862"
"Tightrope","46443031","48966092"
"Ghungroo (From ""War"")","145835348","291670696"
"Old Town Road - Remix","66118224","2787806910"
"Resistiré","261795917","388267696"
"Joy","4904182","162782763"
"Think","21118796","180984654"
"Los Aparatos","69366747","138733494"
"Pretty Girls","79511653","97633499"
"Woman","78530465","1163854443"
"Poesia Acústica #9: Melhor Forma","155780831","467342493"
"Vida - Ao Vivo","3380905","3508261"
"First Class","41549433","669331422"
"Bipolar","161525774","186889724"
"Poesia Acústica #6: Era uma Vez","211134081","844705836"
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)","362292694","724585388"
"Mercy","196048808","1112788942"
"Mujeriego","3017998","194262858"
"My Type","24220191","317319763"
"Sweet Dreams","23975769","339208466"
"23","52297195","62639183"
"Disfruto","42102221","217999853"
"Saturno","94950447","439453620"
"Dengo","8183176","111412784"
"Demons","84840590","1643098973"
"3 A.M.","31174412","607872704"
"White Walls (feat. ScHoolboy Q & Hollis)","229025606","458051212"
"Poesia Acústica #7: Céu Azul","108390130","108458585"
"Team","127028622","635428540"
